logtime,food
2023-05-25 09:27:00,9:25 done
2023-05-25 10:28:00,10:28 instant milk coffee
2023-05-25 11:15:00,11:15 small bowl poha and boondi
2023-05-25 11:52:00,"11:37 poha , curd, boondi and bujiya Curd rice pickle"
2023-05-25 11:52:00,11:51 done
2023-05-25 11:53:00,Sweet saunf
2023-05-25 13:42:00,1:30 half plum
2023-05-25 15:17:00,"3 pm rice, chikkudukaya curry,  pickle,  curd"
2023-05-25 15:17:00,Sweet saunf
2023-05-25 15:17:00,3:17 done
2023-05-25 16:08:00,4:08 fistful nuts mixed
2023-05-25 17:10:00,5:10 chai toast
2023-05-25 17:12:00,2 toasts
2023-05-25 19:31:00,7:30 mirchi bajji
2023-05-25 20:11:00,7:35 biryani
2023-05-25 20:11:00,8:05 gulabi puvvulu sweet
2023-05-25 20:16:00,8:15 mixed nuts a fistful
2023-05-26 09:00:00,8:58 chai 2 toasts
2023-05-26 09:37:00,9:37 carrots
2023-05-26 10:28:00,10:15 utappam
2023-05-26 10:29:00,10:25 done
2023-05-26 11:58:00,11:50 1/2 banana and almonds
2023-05-26 12:56:00,12:56 plum
2023-05-26 13:39:00,"1:20 pm rice, palak dal, curd, lemon rice Mixed nuts 1:39 done"
2023-05-26 13:48:00,1:48 sweet saunf
2023-05-26 16:35:00,4:35 plum mixed nuts
2023-05-26 16:39:00,4:38 small bowl lemon rice and spicy peanuts 3 small chocolate cookie
2023-05-26 16:44:00,Chocolate toffee clusters 3 and almonds
2023-05-26 18:11:00,6:10 chai 2 rusks
2023-05-26 20:25:00,8:15 2 mini donuts Medium bowl fries
2023-05-26 20:26:00,Potato fries
2023-05-26 22:00:00,"9:35 chole batura, a little bit of chowmein and samosa chat 9:50 Done"
2023-05-27 09:53:00,9:53 chsi
2023-05-27 11:09:00,"11:05 avocado bread toast, moong sprouts, lettuce"
2023-05-27 11:14:00,2 fistful moong sprouts
2023-05-27 11:20:00,11:20 fistful nuts
2023-05-27 11:33:00,11:30 coffee instant milk with bread and peanut butter
2023-05-27 12:55:00,12:55 banana
2023-05-27 13:43:00,1:35 coffee instant milk
2023-05-27 15:37:00,3:37 yellow chili restaurant
2023-05-27 16:27:00,Paneer starters Hara bara kabab Kulcha naan Biryani Dal Saag 4:15
2023-05-27 16:36:00,4:31 mixed desserts
2023-05-27 16:46:00,4:45 sweet saunfs
2023-05-27 17:14:00,5:10 jalebi 2
2023-05-27 18:18:00,6:18 chai
2023-05-27 21:08:00,9:02 jalebi 5 pieces 1 fistful nuts
2023-05-27 21:38:00,9:30 Maggie with some veggies
2023-05-27 21:38:00,9:38 done
2023-05-28 08:57:00,8:45 cappuccino
2023-05-28 10:13:00,10:13 half croissant
2023-05-28 10:26:00,10:25 a little bit of humus bread sticks cheese cracker
2023-05-28 10:43:00,More cheese cracker and apricot
2023-05-28 10:47:00,10:45 Orange juice
2023-05-28 11:36:00,11:34 humus crackers
2023-05-28 11:56:00,11:55 half roti hummus
2023-05-28 11:56:00,Apple 1/2
2023-05-28 14:48:00,"2:30 3.5 roti, aloo curry,  pickle, chana jhor 3 thin addictive"
2023-05-28 14:50:00,2:50 done
2023-05-28 14:50:00,Nuts Walnuts
2023-05-28 16:31:00,4:25 chai 2 rusks
2023-05-28 19:33:00,Sensor stopped working
2023-05-28 21:04:00,Binge eating continuously Till 9 pm
2023-05-28 21:04:00,From 7:33pm
2023-05-29 19:53:00,####Restarting logging
2023-05-29 19:53:00,"Mixed nuts, raisins, challa pulusu"
2023-05-29 19:54:00,Shredded coconut
2023-05-29 20:17:00,"4 fistula of almonds, Walnuts and raisins 2 tbsp nutzo, and 1 small bowl of carrots 2 cups of challa pulusu 8:16"
2023-05-29 20:18:00,8:16 done
2023-05-30 08:17:00,8:17 chai
2023-05-30 08:31:00,8:30 3 idlis with allam chutney and curd
2023-05-30 08:36:00,8:36 done
2023-05-30 10:35:00,10:35 cappuccino
2023-05-30 11:44:00,11:44 1/2 idli ghee and chutney powder
2023-05-30 11:51:00,"11:50 almonds, Walnuts raisins also bowl"
2023-05-30 13:14:00,1:10 1 roti and bhindi bhaji
2023-05-30 13:14:00,1:14 small bowl mixed nuts
2023-05-30 13:14:00,And raisins
2023-05-30 14:31:00,"2:05 1.5 roti, pappu kaya 3/4 large muli paratha, curd Bhindi bhaji 1 bowl of mango juice 2:25"
2023-05-30 14:38:00,2:37 thin addictive 3
2023-05-30 14:40:00,2:40 done
2023-05-30 17:41:00,5:25 2 idlis allam chutney 1/3 large muli paratha 1/4cup oats and nuts 1 small cup chai and rusk 5:40 done
2023-05-30 17:56:00,5:45 2 multi grain flat breads 2 fistful pumpkin seeds and raisins
2023-05-30 17:56:00,5:55 done
2023-05-31 08:44:00,8:40 chai
2023-05-31 10:24:00,10:20 utappam
2023-05-31 10:28:00,10:28 done
2023-05-31 11:33:00,11:33 cappuccino
2023-05-31 13:17:00,"1:15 rasam, khichdi, bhindi bhaji left over,  papad"
2023-05-31 13:36:00,Curd 1:34  mixed nuts and 3 thin addictives
2023-05-31 13:44:00,1:40 Walnuts nuts and gas Raisins done
2023-05-31 14:54:00,2:35 3 sweet saunf
2023-05-31 17:43:00,"5:19 chana jhor garam Cucumber, onions, lemon 3 bowls"
2023-05-31 17:43:00,5:38 mango nectar and nuts 5:43 3 thin addictive
2023-05-31 17:47:00,5:45 done
2023-05-31 18:17:00,#mood Feeling fatigue
2023-06-01 09:20:00,9:18 oats nuts and raisins
2023-06-01 09:31:00,9:30 cereals milk
2023-06-01 11:42:00,11:35 roti aloo curry Cucumber and chili
2023-06-01 11:53:00,11:53 rasmalai 1
2023-06-01 12:01:00,11:55 1/3 large utappam rasam
2023-06-01 12:15:00,12:10 mixed nuts and raisins
2023-06-01 14:04:00,2:04 trade Joe's tortilla chips
2023-06-01 14:20:00,2:16 done
2023-06-01 14:53:00,2:45 2/3 utappam and ginger pickle
2023-06-01 14:53:00,Kaju
2023-06-01 15:04:00,2:55 rasam khichdi tortilla chips
2023-06-01 15:36:00,3:36 rasam khichdi curd
2023-06-01 15:46:00,Tortilla chips
2023-06-01 16:05:00,3:50 2 bowls mango nectar nuts
2023-06-01 19:12:00,7:11 almond butter dark chocolate
2023-06-01 19:21:00,Mixed nuts
2023-06-01 19:29:00,7:25 rasam rice tortilla chips
2023-06-01 19:36:00,7:30 Avocado tortilla chips apple
2023-06-01 19:49:00,7:48 done
2023-06-01 20:22:00,"Trickle feed of chips,  rice etc 8:15 done"
2023-06-01 20:55:00,8:40 lemon rice binge eating Nuts and raisins 8:55 done
2023-06-02 09:28:00,9:28 chai
2023-06-02 10:56:00,"9:40 Avocado, sourdough butter toast bread, pickle cucumbers, tortilla chips,  cheese"
2023-06-02 11:44:00,11:40 cappuccino
2023-06-02 13:27:00,"1 pm rice,  tomato dal,  2 cucumbers, pickle, picked Cucumber and a few tortilla chips"
2023-06-02 13:28:00,1 apple 1:27 done
2023-06-02 16:13:00,4:05 tortilla chips and Avocado
2023-06-02 16:29:00,"4:20 cheese, chai, crisp bread pumpkin seeds"
2023-06-02 16:32:00,"4:31 pumpkin seeds, Walnuts, raisins and almonds"
2023-06-02 16:34:00,4:33 done
2023-06-02 17:05:00,#mood 5:00 feeling fatigue
2023-06-03 05:20:00,#no sleep today
2023-06-03 05:21:00,5:20 chai
2023-06-03 06:11:00,5:40 Toasted bread and cheese
2023-06-03 06:49:00,6:40 2 idlis sambar ginger pickle
2023-06-03 08:13:00,8:13 cappuccino
2023-06-03 09:15:00,9:05 1 idli sambar 9:14 fistful mixed nuts
2023-06-03 09:33:00,9:28 1 idly sambar
2023-06-03 09:51:00,9:50 mixed nuts and raisins 2 fistful
2023-06-03 10:29:00,10:30 cappuccino
2023-06-03 12:26:00,11:50 2 idlis sambar
2023-06-03 12:26:00,12:00 Walnuts and raisins and almond butter cup chocolate
2023-06-03 12:27:00,12:05 muli
2023-06-03 13:01:00,12:50 sambar rice curd chana jhor Aloo Papad
2023-06-03 13:03:00,1pm apple
2023-06-03 13:08:00,1:05 Raisins and Walnuts
2023-06-03 16:15:00,4:10 pistachios dark chocolates 1/3 cup
2023-06-03 16:19:00,4:18 Walnuts raisins
2023-06-03 16:23:00,4:23 spicy peanuts 1/2 cup
2023-06-03 16:36:00,4:30 chai digestive biscuit
2023-06-03 16:45:00,4:38 peanuts completed
2023-06-03 16:45:00,Done
2023-06-03 20:49:00,8:49 sambar rice
2023-06-03 21:16:00,Chana jhor Sweet rice(payasam) Almonds Walnuts 1/4 banana 9:05
2023-06-03 21:16:00,9:05 done
2023-06-04 10:12:00,"10:12 chai, cheese, toast bread"
2023-06-04 10:51:00,10:50 sweet rice(payasam) and Walnuts
2023-06-04 11:13:00,11:13 butter toasted bread edges
2023-06-04 12:50:00,12:40 cappuccino 1/2 digestive biscuit
2023-06-04 13:48:00,"1:40 2 roti,  goru chikkudukaya coconut curry 2 papad and 2tbsp curd"
2023-06-04 13:52:00,"1:51 mango nectar, milk Coconut almonds and Walnuts"
2023-06-04 13:55:00,1:54 done
2023-06-04 14:01:00,Almonds cashews raisins
2023-06-04 15:52:00,3:52 crisp bread pumpkin and cheese
2023-06-04 16:03:00,3:55 almond raisins and mixed root chips
2023-06-04 16:41:00,4:35 chai
2023-06-04 18:15:00,6:15 ponkanalu sambar
2023-06-04 18:23:00,6:23 mango nectar
2023-06-04 18:27:00,Almonds
2023-06-04 18:44:00,Raisins and pumpkin seeds
2023-06-04 18:44:00,6:44 done
2023-06-05 09:45:00,9:45 chai
2023-06-05 10:22:00,10:22 mixed nuts and raisins
2023-06-05 10:36:00,Banana
2023-06-05 10:36:00,10:36 Done
2023-06-05 12:25:00,Approx 11:00 cappuccino
2023-06-05 12:25:00,"12:25 rice,  dal, cucumbers"
2023-06-05 12:43:00,"Root Chips, curd"
2023-06-05 12:44:00,Pickle
2023-06-05 12:46:00,12:45 done
2023-06-05 12:46:00,Almond and raisins
2023-06-05 16:34:00,"4:25 mixed nuts, raisins, pumpkin seeds"
2023-06-05 17:13:00,4:35 chai
2023-06-06 08:45:00,"8:45 chai, toast cheese guacomole"
2023-06-06 08:58:00,8:57 orange and almonds
2023-06-06 10:09:00,10:05 cappuccino
2023-06-06 13:19:00,"12:40 rice,  dal Peas potato curry (bengali) 1 Roti Curd and rice 1 pizza slice Cheese grapes"
2023-06-06 13:19:00,1:19 done
2023-06-06 13:24:00,1:24 Raisins and almonds
2023-06-06 15:34:00,3:33 cappuccino
2023-06-06 16:13:00,4:10 banana
2023-06-06 16:25:00,"4:20 rice, potato peas curry,  curd,  root chips"
2023-06-06 16:34:00,4:30 raisins almonds 3 Thin addictives
2023-06-06 17:15:00,5:05 chai
2023-06-07 07:46:00,7:46 chai
2023-06-07 07:55:00,"Today bread, dip and cheese, nutzo"
2023-06-07 09:17:00,"9:15 half dosa, potato peas curry"
2023-06-07 09:37:00,9:30 dosa potato peas curry
2023-06-07 09:42:00,9:41 2 cucumbers
2023-06-07 09:49:00,Raisins almonds nutzo
2023-06-07 10:53:00,10:53 cappuccino
2023-06-07 12:41:00,12:00 small bowl rice and dal and chana jhor
2023-06-07 12:41:00,"12:25 rice, dal, root chips, curd"
2023-06-07 12:41:00,12:41 small bowl grapes and cheese
2023-06-07 13:23:00,"1:33 raisins, almonds, and pumpkin seeds"
2023-06-07 13:36:00,1:35 Raisins and almonds 1 small Godiva Chocolate
2023-06-07 13:40:00,1 more small Godiva chocolate
2023-06-07 14:48:00,2:40 2 scoops tuti fruti Ice cream
2023-06-07 14:50:00,Root chips small bowl
2023-06-07 17:09:00,5:09 orange
2023-06-07 17:13:00,Grapes
2023-06-07 17:21:00,5:15 Dosa with allam chutney and nutzo
2023-06-07 17:23:00,Papad
2023-06-07 17:57:00,5:45 Roasted Peanuts
2023-06-07 18:09:00,6:00 almonds raisins
2023-06-08 08:17:00,Cereals
2023-06-08 08:26:00,With blueberries and Walnuts
2023-06-08 09:16:00,Banana
2023-06-08 11:42:00,11:40 Mixed nuts
2023-06-08 12:03:00,11:50 cappuccino Crispbread Giuacomole 1/2 biscuit
2023-06-08 13:48:00,"12:50 pasta, Peas, chana jhor and sundried tomatoes"
2023-06-08 14:37:00,#mood feeling low for the past 15 min or so
2023-06-08 16:20:00,4:20 chai
2023-06-08 16:45:00,"Crisp bread, cheese, guacamole Grapes and cheese 4:44 done"
2023-06-08 17:13:00,5:05 chana jhor garam and peanuts
2023-06-08 17:20:00,5:20 peanuts Done
2023-06-08 18:50:00,"#mood felt fatigued for the past 1 hour+ , stomach over full"
2023-06-09 09:41:00,Peanuts fistful
2023-06-09 09:47:00,Biscuit Chai
2023-06-09 10:28:00,Blueberry pancake
2023-06-09 10:30:00,Maple syrup
2023-06-09 11:02:00,Cappuccino
2023-06-09 12:18:00,Peanuts fistful
2023-06-09 12:50:00,More peanuts fistful
2023-06-09 13:19:00,"1:15 rice, peas, dal, curd,  Cucumber salad, papad"
2023-06-09 13:28:00,1:28 done
2023-06-09 14:25:00,2:25 blueberries fistful
2023-06-09 15:01:00,1 almond butter cup chocolate
2023-06-09 15:07:00,Blueberries fistful
2023-06-09 15:09:00,Fistful almond
2023-06-09 15:11:00,Fistful almonds
2023-06-09 16:14:00,Chai biscuit
2023-06-09 16:16:00,Biscuit
2023-06-09 17:33:00,4 loquats
2023-06-09 17:47:00,"1 bowl of rice, dal, peas curry, chana jhor"
2023-06-09 17:57:00,5:50 chocolava cake and almonds
2023-06-10 10:11:00,"10:10 chai, bread toast, cheese and nutzo"
2023-06-10 11:19:00,11:10 cappuccino
2023-06-10 12:08:00,Small bowl rice dal papad
2023-06-10 12:15:00,"Bread small butter roasted, with nutzo and almonds"
2023-06-10 13:30:00,Thakipeet
2023-06-10 13:55:00,2.5 Thalipeet done
2023-06-10 14:13:00,Chocolate cookie
2023-06-10 14:21:00,Cappuccino
2023-06-10 14:41:00,#fatigued
2023-06-10 16:59:00,Chai biscuit
2023-06-11 08:09:00,Chai
2023-06-11 08:13:00,Almond crackers
2023-06-11 08:46:00,8:30 2 dosas
2023-06-11 11:58:00,10:30 cappuccino
2023-06-11 11:58:00,1 large mug Almond milk
2023-06-11 12:37:00,Chole rice
2023-06-11 12:56:00,Apple
2023-06-11 15:01:00,1:30 cappuccino
2023-06-11 15:01:00,2:10 large bowl roasted makhana
2023-06-11 15:02:00,#Driving to San Jose
2023-06-11 20:46:00,8:30 chole rice
2023-06-11 20:46:00,Large bowl
2023-06-11 20:46:00,3 to 7 pm oranges and crisp bread
2023-06-12 10:04:00,10:04 cappuccino
2023-06-12 13:39:00,12:45 banana
2023-06-12 14:12:00,1:45 mixed nuts and coffee
2023-06-12 16:35:00,3ish cashews 4pm apple
2023-06-12 20:44:00,"Chole, roti"
2023-06-12 21:11:00,"Dal, vangi bhaji, rice,  curd Done"
2023-06-12 21:16:00,Sweets
2023-06-13 09:28:00,Coffee with little milk
2023-06-13 10:28:00,Cheese
2023-06-13 10:34:00,Cookie
2023-06-13 10:39:00,Cheese
2023-06-13 10:48:00,Belvita 4 breakfast biscuits
2023-06-13 12:55:00,Lunch Mexican
2023-06-13 12:55:00,IMG-20230613-WA0001.jpg (file attached)
2023-06-13 13:22:00,1:10 cappuccino
2023-06-13 15:08:00,Cucumbers
2023-06-13 15:39:00,Cheese
2023-06-13 15:40:00,IMG-20230613-WA0003.jpg (file attached)
2023-06-13 15:43:00,A couple of potato chips
2023-06-13 15:44:00,Fistful almonds
2023-06-13 16:25:00,Orange Fistful cashews
2023-06-13 17:11:00,Fistful cashews
2023-06-13 18:18:00,5:20 makhana and 3 crisp beads
2023-06-13 18:51:00,6:30 chipotle veggie bowl
2023-06-13 19:44:00,7:30 chai
2023-06-14 10:57:00,Cashews fistful
2023-06-14 11:01:00,Cheese
2023-06-14 12:31:00,Paneer tikka masala and rice
2023-06-14 16:33:00,4:10 Fistful almonds
2023-06-14 16:44:00,Fistful cashews
2023-06-14 16:45:00,Bagel multi grain and nutzo
2023-06-14 16:57:00,2 fistful cashews
2023-06-14 17:52:00,1 fistful cashews
2023-06-14 17:56:00,1 fistful Walnuts
2023-06-14 21:21:00,"Rice, potato korma, pickle"
2023-06-14 21:41:00,"Curd, little rajma"
2023-06-15 11:14:00,Cappuccino
2023-06-15 11:26:00,Mexican before bowl
2023-06-15 11:26:00,Veggie chips
2023-06-15 14:13:00,2:05 coffee milk
2023-06-15 14:50:00,2:30 fistful cashews
2023-06-15 16:00:00,4 fistful almonds
2023-06-15 17:57:00,Cheese
2023-06-15 17:58:00,Fistful cashews
2023-06-15 18:08:00,Fistful veggie chips
2023-06-15 18:17:00,2 Fistful veggie chips
2023-06-15 19:53:00,7:45 chai
2023-06-15 21:09:00,Biryani
2023-06-15 21:12:00,Aloo korma
2023-06-15 21:29:00,Fried rice Sweet (double ka meetha) Done
2023-06-16 10:59:00,10:45 Coffee with milk
2023-06-16 11:42:00,Fistful cashews
2023-06-16 11:45:00,Fistful almonds
2023-06-16 12:46:00,"Salsa chips,  Avocado tacos lunch"
2023-06-16 15:20:00,Tortillas chips
2023-06-16 16:27:00,Walnut cake 3 slices
2023-06-16 20:01:00,Chai
2023-06-16 21:01:00,"Samosa, bajji, manchria small bowl Walnut cake small"
2023-06-16 21:02:00,Buttermilk
2023-06-17 08:22:00,Chai
2023-06-17 10:01:00,You deleted this message
2023-06-17 10:03:00,"9:25 wheat rava upma, 9:45 pulihora, 10:00 3 cookies"
2023-06-17 12:21:00,12:10 orange
2023-06-17 12:21:00,12:21 orange
2023-06-17 13:40:00,IMG-20230617-WA0031.jpg (file attached)
2023-06-17 13:40:00,Thali
2023-06-17 13:58:00,Done
2023-06-17 16:28:00,Banana nuts
2023-06-17 16:41:00,Pulohora small bowl
2023-06-17 16:41:00,Double ka meetha half bowl and nuts
2023-06-18 10:03:00,Cereal and milk
2023-06-18 10:18:00,3 bowl serving of granola and cereals almonds and Walnuts
2023-06-18 12:50:00,Veg Nepali thali
2023-06-18 12:50:00,IMG-20230618-WA0001.jpg (file attached)
2023-06-18 13:08:00,Done are quite a bit
2023-06-18 14:12:00,Mixed nuts
2023-06-18 14:43:00,2:30 3 mini almond cookies
2023-06-18 17:13:00,Pulihora small bowl
2023-06-18 17:23:00,Cereals and milk
2023-06-18 17:50:00,Cereals and milk
2023-06-18 17:50:00,Many bowls till 5:50
2023-06-18 17:51:00,Walnuts
2023-06-18 19:53:00,"#mood feeling fatigue, ate a lot"
2023-06-18 19:53:00,Last 1 hour+
2023-06-19 08:32:00,8:25 cherry small bowl Mixed nuts fistful
2023-06-19 11:14:00,9:45 coffee milk 10:18 fistful cashews
2023-06-19 11:26:00,11:15 fistful almonds 11:25 black coffee 11:25 fistful Walnuts
2023-06-19 12:49:00,IMG-20230619-WA0000.jpg (file attached)
2023-06-19 12:49:00,Mediterranean lunch
2023-06-19 15:58:00,Fistful almonds
2023-06-19 16:01:00,Fistful cashews
2023-06-19 17:25:00,Fistful cashews
2023-06-19 17:27:00,Fistful almonds
2023-06-19 17:33:00,Fistful cashews
2023-06-19 18:16:00,Cherries small bowl
2023-06-19 20:57:00,Cherries and nuts
2023-06-19 21:45:00,"9:30 3 cups of nuts (cashews, Walnuts)"
2023-06-20 09:06:00,8:30 black coffee
2023-06-20 09:23:00,coffee milk
2023-06-20 10:30:00,Almonds fistful
2023-06-20 11:41:00,Belvita crunchy cookie
2023-06-20 11:46:00,4 cookies 220 cal
2023-06-20 12:36:00,Vegetarian garden with mixed green salad
2023-06-20 13:57:00,Cheese block
2023-06-20 14:14:00,Fistful cashews
2023-06-20 14:52:00,Coffee milk decaf
2023-06-20 16:44:00,Cheese fistful cashews
2023-06-20 17:49:00,Belvita biscuits 4
2023-06-20 17:52:00,#mood feeling low so eating biscuits
2023-06-20 17:55:00,Fistful almonds
2023-06-20 17:59:00,Fistful cashews
2023-06-20 19:58:00,Dinner
2023-06-20 20:43:00,IMG-20230620-WA0003.jpg (file attached)
2023-06-20 20:43:00,Done
2023-06-21 10:18:00,Banana
2023-06-21 11:58:00,11:40 Fistful almonds
2023-06-21 13:06:00,Veg lasagna
2023-06-21 13:13:00,Nachos
2023-06-21 16:27:00,Fistful cashews
2023-06-21 17:19:00,Fistful almonds
2023-06-21 17:26:00,IMG-20230621-WA0004.jpg (file attached)
2023-06-21 17:26:00,4 biscuits
2023-06-21 17:52:00,Fistful cashews
2023-06-21 17:53:00,veggie before
2023-06-21 20:12:00,Fistful cashews
2023-06-21 20:21:00,8:15 fistful cashews
2023-06-21 20:28:00,IMG-20230621-WA0006.jpg (file attached)
2023-06-21 20:29:00,Tostada baja fresh
2023-06-22 09:20:00,11 pm yesterday: 5 jalapeño poppers
2023-06-22 09:20:00,Tea and biscuit
2023-06-22 09:23:00,Biscuit
2023-06-22 09:37:00,Cappuccino
2023-06-22 14:05:00,Lunch
2023-06-22 17:31:00,Banana almonds
2023-06-22 17:41:00,Chai biscuit
2023-06-22 17:56:00,"Snacks 3 small bowls Chuda, sev"
2023-06-22 20:02:00,Dinner semya
2023-06-22 20:34:00,"8:33 curd, gangavalli pappu, rice, papad, semya upma"
2023-06-22 20:34:00,Gangavalli pappu and rice
2023-06-23 06:47:00,Chai
2023-06-23 07:27:00,Pongal
2023-06-23 09:44:00,7:45 cappuccino
2023-06-23 09:44:00,Pongal
2023-06-23 09:44:00,Sev and papad
2023-06-23 12:59:00,Mixed nuts and prunes
2023-06-23 12:59:00,Cappuccino
2023-06-23 12:59:00,Fried green tomato slice
2023-06-23 13:10:00,2 fistful cashews
2023-06-23 13:54:00,"Rasam rice,  pongal, tomato chips Kaju kathli"
2023-06-23 14:13:00,#mood Overate today
2023-06-23 14:13:00,#mood overate yesterday
2023-06-23 17:04:00,4:50pm banana Walnuts
2023-06-23 17:04:00,5pm raj bhog overcame 1 scoop and Walnuts
2023-06-24 09:02:00,"6:45 pm rice, pickle, curd and chips and something else"
2023-06-24 09:02:00,"7:40 am banana, 2 energy bars"
2023-06-24 09:02:00,8:30 coffee milk
2023-06-24 10:25:00,#mood feeling sleepy
2023-06-24 10:25:00,Caffeine crash?
2023-06-24 12:20:00,12:10 lemon honey tea
2023-06-24 15:35:00,Toastada salad
2023-06-24 15:35:00,IMG-20230624-WA0000.jpg (file attached)
2023-06-24 16:00:00,"#mood overate oily base it was, i think the glucose will shoot up"
2023-06-24 21:49:00,9:49 pm two fresh spring rolls
2023-06-24 22:15:00,9:49 pm peanut sauce Orange slices
2023-06-25 11:59:00,11:39 brunch
2023-06-25 11:59:00,IMG-20230625-WA0000.jpg (file attached)
2023-06-25 12:50:00,Cappuccino
2023-06-25 18:05:00,Banana
2023-06-25 18:17:00,Kind energy bar
2023-06-25 19:02:00,Chipotle veggie bowl and chips
2023-06-25 19:16:00,Done
2023-06-26 09:26:00,Black coffee
2023-06-26 10:16:00,Decaf cappuccino
2023-06-26 11:32:00,Cashews fistful
2023-06-26 14:24:00,2:15 banana
2023-06-26 15:13:00,"Bowl full of Walnuts, almond and raisins"
2023-06-26 16:53:00,4:25 cappuccino
2023-06-26 17:18:00,Walnuts and cashews half bowl
2023-06-26 21:11:00,Chipotle veggie bowl and chips
2023-06-26 21:11:00,With sour cream
2023-06-26 23:50:00,#mood weird that my sugar spiked from chipotle 2 hours later
2023-06-27 09:35:00,Banana
2023-06-27 09:57:00,9:45 cappuccino
2023-06-27 09:57:00,Granola nuts milk
2023-06-27 10:55:00,Coffee milk
2023-06-27 11:50:00,Orange
2023-06-27 11:51:00,# sensor over
2023-06-27 12:29:00,IMG-20230627-WA0000.jpg (file attached)
2023-06-27 12:29:00,Lunch
2023-06-27 12:33:00,1/2 box
2023-06-27 15:07:00,2:50 1/2 box
2023-06-27 15:46:00,3:30 almonds
2023-06-27 15:46:00,3:46 cashews fistful
2023-06-28 08:07:00,#shambhavi 8 am tuft rooftop
2023-06-28 08:52:00,Cappuccino
2023-06-28 08:52:00,Double shot^^
2023-06-28 09:03:00,Banana
2023-06-28 11:11:00,Decaf cappuccino
2023-06-28 12:55:00,IMG-20230628-WA0006.jpg (file attached)
2023-06-28 12:55:00,Lunch: rice and veggies
2023-06-28 13:04:00,Fistful cashews
2023-06-28 13:13:00,Walnuts cheese pita small bowl
2023-06-28 13:19:00,Small bowl almonds and peanut m&ms
2023-06-28 15:46:00,Pita crackers and cheese
2023-06-28 19:07:00,#shambhavi near the reservoir
